"","m","impact.wave1","events.wave1","ee_concerns.wave1","country","impact.wave2","energy_price","percent_energy","gas_price","percent_gas","ee_concerns.wave2","events.wave2","n","ee_concerns.diff","impact.diff"
"200",229256171636877,3,8,5,"Switzerland",3,2,30,2,20,6,822,1,-1,0
"201",229256171644062,3,348,2,"Switzerland",3,2,15,4,45,4,34822,1,-2,0
"202",229256171658438,4,4,5,"Switzerland",3,2,10,2,8,4,348,1,1,1
"203",229256171660490,3,34568,5,"Switzerland",3,2,23,2,20,4,13456822,1,1,0
"204",229256171670763,1,89,6,"Switzerland",1,2,10,3,NA,5,14822,1,1,0
"205",229256171671793,3,348,5,"Switzerland",3,2,30,3,NA,4,348,1,1,0
"206",229256171672827,3,48,5,"Switzerland",3,2,35,2,40,4,4822,1,1,0
"207",229256171676680,2,4,3,"Switzerland",3,3,NA,3,NA,3,11,1,0,-1
"208",229256171707512,3,348,4,"Switzerland",3,2,15,2,15,4,48,1,0,0
"209",229256171709564,4,38,3,"Switzerland",4,2,10,3,NA,4,4822,1,-1,0
"210",229256171712646,3,348,4,"Switzerland",3,2,4,3,NA,5,8,1,-1,0
"211",229256171733167,4,348,2,"Switzerland",3,2,10,2,20,3,8,1,-1,1
"212",229256171741387,3,489,2,"Switzerland",4,3,NA,4,10,1,8922,1,1,-1
"213",229256171743437,3,1345689,3,"Switzerland",4,2,30,3,NA,4,4,1,-1,-1
"214",229256171754731,3,348,4,"Switzerland",3,2,5,2,2,4,4822,1,0,0
"215",229256171770896,1,348,3,"Switzerland",1,2,50,2,50,5,48,1,-2,0
"216",229256171776032,4,34,1,"Switzerland",1,2,40,2,50,5,15,1,-4,3
"217",229256171818133,3,3489,3,"Switzerland",3,3,NA,2,18,4,48922,1,-1,0
"218",229256171835582,3,34,5,"Switzerland",3,2,20,2,10,5,3422,1,0,0
"219",229256171858967,3,3,3,"Switzerland",3,3,NA,3,NA,4,1,1,-1,0
"220",229256171870273,3,348,4,"Switzerland",4,2,12,2,8,4,34822,1,0,-1
"221",229256171906265,3,3489,5,"Switzerland",3,2,20,2,2,5,348922,1,0,0
"222",229256171907291,3,11,2,"Switzerland",3,2,10,2,5,5,34,1,-3,0
"223",229256171950188,1,4568,6,"Switzerland",1,2,20,2,10,6,34522,1,0,0
"224",229256171951214,3,48,4,"Switzerland",3,2,10,2,15,3,4822,1,1,0
"225",229256171951216,3,4,5,"Switzerland",3,3,NA,3,NA,5,1346,1,0,0
"226",229256171962526,2,8,4,"Switzerland",3,2,30,2,30,5,48922,1,-1,-1
"227",229256171968702,4,489,2,"Switzerland",4,2,20,2,20,2,11,1,0,0
"228",229256171972822,2,489,6,"Switzerland",2,2,15,2,15,6,48922,1,0,0
"229",229320605934677,3,489,4,"Germany",3,3,NA,4,5,5,214922,1,-1,0
"230",229320605934683,2,4,6,"Germany",1,2,65,3,NA,6,2142210,1,0,1
"231",229320605935709,2,349,6,"Germany",1,2,100,2,100,6,32149,1,0,1
"232",229320605935711,2,4,3,"Germany",2,2,25,2,22,5,4,1,-2,0
"233",229320605935718,3,11,4,"Germany",3,3,NA,4,10,4,4,1,0,0
"234",229320605935728,3,348,5,"Germany",3,2,50,2,80,4,321489,1,1,0
"235",229320605936754,2,48,5,"Germany",2,2,30,2,30,5,48,1,0,0
"236",229320605936759,3,3489,5,"Germany",2,3,NA,4,30,4,3204,1,1,1
