Gemeinde;Preise2022
Beckenried ;19,74
Buochs ;18,76
Dallenwil ;18,76
Emmetten ;18,76
Ennetbürgen ;18,76
Ennetmoos ;18,76
Hergiswil (NW) ;18,76
Oberdorf (NW) ;18,76
Stans ;18,76
Stansstad ;18,76
Wolfenschiessen ;18,76
Glarus Nord ;23,07
Glarus Süd ;19,88
Glarus ;21,05
Baar ;23,17
Baar ;20,93
Cham ;21,64
Hünenberg ;20,91
Hünenberg ;21,27
Menzingen ;21,64
Menzingen ;17,57
Neuheim ;22,36
Oberägeri ;22,36
Risch ;20,93
Steinhausen ;19,56
Unterägeri ;22,36
Walchwil ;20,93
Zug ;20,93
Châtillon (FR) ;21,16
Cugy (FR) ;21,16
Fétigny ;21,16
Gletterens ;21,16
Lully (FR) ;21,16
Ménières ;21,16
Montagny (FR) ;21,16
Nuvilly ;21,16
Prévondavaux ;19,89
Saint-Aubin (FR) ;21,16
Sévaz ;21,16
Surpierre ;21,16
Vallon ;21,16
Les Montets ;21,16
Delley-Portalban ;21,16
Belmont-Broye ;21,16
Estavayer ;21,16
Cheyres-Châbles ;21,16
Auboranges ;21,16
Billens-Hennens ;21,16
Chapelle (Glâne) ;21,16
Le Châtelard ;21,16
Châtonnaye ;21,16
Ecublens (FR) ;21,16
Grangettes ;21,16
Massonnens ;21,16
Mézières (FR) ;21,16
Montet (Glâne) ;21,16
Romont (FR) ;21,16
Rue ;21,16
Siviriez ;21,16
Ursy ;21,16
Vuisternens-devant-Romont ;21,16
Villorsonnens ;21,16
Torny ;21,16
Villaz ;21,16
Haut-Intyamon ;21,16
Pont-en-Ogoz ;21,16
Botterens ;20,11
Broc ;21,16
Bulle ;19,56
Châtel-sur-Montsalvens ;20,11
Corbières ;20,11
Crésuz ;20,11
Echarlens ;20,11
Grandvillard ;21,16
Gruyères ;21,16
Hauteville ;21,16
Jaun ;21,16
Marsens ;21,16
Morlon ;20,11
Le Pâquier (FR) ;21,16
Pont-la-Ville ;21,16
Riaz ;20,11
La Roche ;21,16
Sâles ;21,16
Sorens ;21,16
Vaulruz ;21,16
Vuadens ;21,16
Bas-Intyamon ;21,16
Val-de-Charmey ;20,11
Autigny ;21,16
Avry ;21,16
Belfaux ;21,16
Chénens ;21,16
Corminboeuf ;21,16
Cottens (FR) ;21,16
Ferpicloz ;21,16
Fribourg ;21,16
Givisiez ;21,16
Granges-Paccot ;21,16
Grolley ;21,16
Marly ;21,16
Matran ;21,16
Neyruz (FR) ;21,16
Pierrafortscha ;21,16
Ponthaux ;21,16
Le Mouret ;21,16
Treyvaux ;21,16
Villars-sur-Glâne ;21,16
Villarsel-sur-Marly ;21,16
Hauterive (FR) ;21,16
La Brillaz ;21,16
La Sonnaz ;21,16
Gibloux ;21,16
Prez ;21,16
Bois-d'Amont ;21,16
Courgevaux ;21,16
Courtepin ;21,16
Cressier (FR) ;21,16
Fräschels ;21,16
Greng ;21,16
Gurmels ;21,16
Kerzers ;21,16
Kleinbösingen ;21,16
Meyriez ;20,87
Misery-Courtion ;21,16
Muntelier ;21,43
Murten ;21,43
Ried bei Kerzers ;21,16
Ulmiz ;21,16
Mont-Vully ;21,16
Brünisried ;21,16
Düdingen ;21,16
Giffers ;21,16
Bösingen ;21,16
Heitenried ;21,16
Plaffeien ;21,16
Plasselb ;21,16
Rechthalten ;21,16
St. Silvester ;21,16
St. Ursen ;21,16
Schmitten (FR) ;21,16
Tafers ;21,16
Tentlingen ;21,16
Ueberstorf ;21,16
Wünnewil-Flamatt ;22,56
Attalens ;21,16
Bossonnens ;21,16
Châtel-Saint-Denis ;21,16
Granges (Veveyse) ;21,16
Remaufens ;21,16
Saint-Martin (FR) ;21,16
Semsales ;21,16
Le Flon ;21,16
La Verrerie ;21,16
Egerkingen ;16,93
Härkingen ;19,28
Kestenholz ;19,76
Neuendorf ;14,98
Niederbuchsiten ;18,61
Oberbuchsiten ;19,22
Oensingen ;24,45
Wolfwil ;18,47
Aedermannsdorf ;18,34
Balsthal ;23,19
Herbetswil ;18,34
Holderbank (SO) ;20,21
Laupersdorf ;18,34
Matzendorf ;18,34
Mümliswil-Ramiswil ;21,25
Welschenrohr-Gänsbrunnen ;24,8
Biezwil ;23,23
Lüterkofen-Ichertswil ;20,79
Lüterswil-Gächliwil ;23,23
Messen ;20,47
Schnottwil ;19,78
Unterramsern ;20,47
Lüsslingen-Nennigkofen ;20,79
Buchegg ;23,23
Buchegg ;19,69
Bättwil ;21,46
Büren (SO) ;21,46
Dornach ;21,46
Gempen ;21,46
Hochwald ;21,46
Hofstetten-Flüh ;21,46
Metzerlen-Mariastein ;21,46
Nuglar-St. Pantaleon ;21,46
Rodersdorf ;21,46
Seewen ;21,46
Witterswil ;21,46
Hauenstein-Ifenthal ;23,19
Kienberg ;20,21
Lostorf ;22,82
Niedergösgen ;23,11
Obergösgen ;23,16
Stüsslingen ;23,54
Trimbach ;23,19
Winznau ;23,19
Wisen (SO) ;23,19
Erlinsbach (SO) ;21,69
Aeschi (SO) ;24,8
Biberist ;21,68
Biberist ;24,7
Bolken ;24,8
Deitingen ;24,8
Derendingen ;24,67
Gerlafingen ;24,7
Halten ;22,18
Kriegstetten ;24,7
Lohn-Ammannsegg ;19,69
Luterbach ;24,7
Obergerlafingen ;24,8
Oekingen ;22,18
Recherswil ;24,8
Subingen ;21,79
Zuchwil ;21,79
Zuchwil ;24,7
Drei Höfe ;24,8
Balm bei Günsberg ;24,8
Bellach ;24,8
Bettlach ;24,8
Feldbrunnen-St. Niklaus ;24,8
Flumenthal ;24,8
Grenchen ;22,19
Günsberg ;24,8
Hubersdorf ;24,8
Kammersrohr ;24,8
Langendorf ;21,79
Lommiswil ;24,7
Oberdorf (SO) ;24,8
Riedholz ;24,8
Rüttenen ;24,8
Selzach ;24,8
Boningen ;18,29
Däniken ;22,96
Dulliken ;23,11
Eppenberg-Wöschnau ;21,69
Fulenbach ;21,65
Gretzenbach ;21,45
Gunzgen ;18,29
Hägendorf ;18,29
Kappel (SO) ;18,29
Olten ;23,08
Rickenbach (SO) ;22,74
Schönenwerd ;23,06
Starrkirch-Wil ;23,19
Walterswil (SO) ;23,19
Wangen bei Olten ;23,19
Solothurn ;22,01
Bärschwil ;21,46
Beinwil (SO) ;21,46
Breitenbach ;21,46
Büsserach ;21,46
Erschwil ;21,46
Fehren ;21,46
Grindel ;21,46
Himmelried ;21,46
Kleinlützel ;21,46
Meltingen ;21,46
Nunningen ;21,46
Zullwil ;21,46
Basel ;28,41
Bettingen ;28,41
Riehen ;28,41
Aesch (BL) ;21,46
Allschwil ;21,46
Arlesheim ;21,46
Biel-Benken ;21,46
Binningen ;21,46
Birsfelden ;21,46
Bottmingen ;21,46
Ettingen ;21,46
Münchenstein ;21,46
Muttenz ;21,46
Oberwil (BL) ;21,46
Pfeffingen ;21,46
Reinach (BL) ;21,46
Schönenbuch ;21,46
Therwil ;21,46
Blauen ;25,2
Brislach ;21,46
Burg im Leimental ;21,46
Dittingen ;25,2
Duggingen ;21,46
Grellingen ;21,46
Laufen ;25,2
Laufen ;21,46
Liesberg ;21,46
Nenzlingen ;25,2
Roggenburg ;25,2
Röschenz ;25,2
Wahlen ;25,2
Zwingen ;25,2
Arisdorf ;21,57
Augst ;21,23
Bubendorf ;21,57
Frenkendorf ;21,57
Füllinsdorf ;21,57
Giebenach ;21,57
Hersberg ;21,57
Lausen ;21,57
Liestal ;21,57
Lupsingen ;21,46
Pratteln ;21,46
Pratteln ;21,57
Ramlinsburg ;21,57
Seltisberg ;21,57
Ziefen ;21,57
Anwil ;21,57
Böckten ;21,57
Buckten ;21,57
Buus ;21,57
Diepflingen ;21,57
Gelterkinden ;21,57
Häfelfingen ;21,57
Hemmiken ;21,57
Itingen ;21,23
Itingen ;18,3
Känerkinden ;21,57
Kilchberg (BL) ;21,57
Läufelfingen ;21,57
Maisprach ;18,89
Maisprach ;21,23
Nusshof ;21,57
Oltingen ;21,57
Ormalingen ;21,57
Rickenbach (BL) ;21,57
Rothenfluh ;21,57
Rümlingen ;21,57
Rünenberg ;21,57
Sissach ;19,36
Sissach ;21,23
Tecknau ;21,57
Tenniken ;21,57
Thürnen ;21,57
Wenslingen ;21,57
Wintersingen ;21,57
Wittinsburg ;21,57
Zeglingen ;21,57
Zunzgen ;21,57
Arboldswil ;21,57
Bennwil ;21,57
Bretzwil ;21,46
Diegten ;21,57
Eptingen ;21,57
Hölstein ;21,57
Lampenberg ;21,57
Langenbruck ;21,57
Lauwil ;21,46
Liedertswil ;21,57
Niederdorf ;21,57
Oberdorf (BL) ;21,57
Reigoldswil ;22,57
Reigoldswil ;21,23
Titterten ;21,57
Waldenburg ;21,57
Gächlingen ;19,65
Löhningen ;19,65
Neunkirch ;19,65
Büttenhardt ;19,65
Dörflingen ;19,65
Lohn (SH) ;19,65
Stetten (SH) ;19,65
Thayngen ;19,65
Bargen (SH) ;19,65
Beringen ;19,65
Buchberg ;19,65
Merishausen ;19,65
Neuhausen am Rheinfall ;19,65
Rüdlingen ;19,65
Schaffhausen ;20,15
Schaffhausen ;19,65
Beggingen ;19,65
Schleitheim ;19,65
Siblingen ;19,65
Buch (SH) ;19,65
Hemishofen ;19,65
Ramsen ;19,65
Stein am Rhein ;19,65
Hallau ;21,12
Oberhallau ;19,65
Trasadingen ;19,65
